#datetime,distance[cm]
2022-07-08T17:42:56.297522,88.3
2022-07-08T17:42:57.622714,87.9
2022-07-08T17:42:58.947884,88.1
2022-07-08T17:43:00.272921,87.2
2022-07-08T17:43:01.598143,88.0
2022-07-08T17:43:02.923380,87.6
2022-07-08T17:43:04.248322,87.5
2022-07-08T17:43:05.573439,87.7
2022-07-08T17:43:06.898384,87.2
2022-07-08T17:43:08.223407,87.0
2022-07-08T17:43:09.548377,87.1
2022-07-08T17:43:10.873428,87.2
2022-07-08T17:43:12.198359,87.2
2022-07-08T17:43:13.523298,86.8
2022-07-08T17:43:14.848123,86.9
2022-07-08T17:43:16.172945,86.6
2022-07-08T17:43:17.497938,87.0
2022-07-08T17:43:18.822757,86.4
2022-07-08T17:43:20.147583,86.4
2022-07-08T17:43:21.472603,86.5
2022-07-08T17:43:22.797379,86.1
2022-07-08T17:43:24.122210,86.2
2022-07-08T17:43:25.447056,86.3
2022-07-08T17:43:26.772070,85.8
2022-07-08T17:43:28.096854,86.0
2022-07-08T17:43:29.421667,86.0
2022-07-08T17:43:30.746376,85.9
2022-07-08T17:43:32.071060,85.5
2022-07-08T17:43:33.395756,85.8
2022-07-08T17:43:34.720454,85.7
2022-07-08T17:43:36.045029,85.4
2022-07-08T17:43:37.369727,85.5
2022-07-08T17:43:38.694444,85.1
2022-07-08T17:43:40.019177,85.4
2022-07-08T17:43:41.343862,85.0
2022-07-08T17:43:42.668534,85.1
2022-07-08T17:43:43.993166,84.9
2022-07-08T17:43:45.317724,85.0
2022-07-08T17:43:46.642321,85.2
2022-07-08T17:43:47.966804,84.5
2022-07-08T17:43:49.291420,84.6
2022-07-08T17:43:50.615803,84.3
2022-07-08T17:43:51.940259,84.6
2022-07-08T17:43:53.264880,84.5
2022-07-08T17:43:54.589298,84.0
2022-07-08T17:43:55.913720,84.2
2022-07-08T17:43:57.238037,84.0
2022-07-08T17:43:58.562491,84.1
2022-07-08T17:43:59.886830,83.8
2022-07-08T17:44:01.211513,84.0
2022-07-08T17:44:02.535968,83.6
2022-07-08T17:44:03.860174,83.5
2022-07-08T17:44:05.184510,83.6
2022-07-08T17:44:06.508777,83.3
2022-07-08T17:44:07.833152,83.4
2022-07-08T17:44:09.157419,83.3
2022-07-08T17:44:10.481638,83.2
2022-07-08T17:44:11.805924,83.2
2022-07-08T17:44:13.130078,82.8
2022-07-08T17:44:14.454364,83.0
2022-07-08T17:44:15.778549,82.8
2022-07-08T17:44:17.102750,82.9
2022-07-08T17:44:18.427021,82.3
2022-07-08T17:44:19.751293,82.7
2022-07-08T17:44:21.075361,82.6
2022-07-08T17:44:22.399476,82.5
2022-07-08T17:44:23.723449,82.1
2022-07-08T17:44:25.047517,82.3
2022-07-08T17:44:26.371532,82.1
2022-07-08T17:44:27.695633,82.2
2022-07-08T17:44:29.019763,82.1
2022-07-08T17:44:30.343996,82.0
2022-07-08T17:44:31.667978,81.9
2022-07-08T17:44:32.992156,81.7
2022-07-08T17:44:34.316149,81.7
2022-07-08T17:44:35.640130,81.6
2022-07-08T17:44:36.964066,81.5
2022-07-08T17:44:38.288126,81.4
2022-07-08T17:44:39.612141,81.5
2022-07-08T17:44:40.936059,81.4
2022-07-08T17:44:42.259999,81.3
2022-07-08T17:44:43.583913,80.9
2022-07-08T17:44:44.907906,81.1
2022-07-08T17:44:46.231717,81.0
2022-07-08T17:44:47.555598,80.9
2022-07-08T17:44:48.879455,80.8
2022-07-08T17:44:50.203283,80.7
2022-07-08T17:44:51.527342,80.7
2022-07-08T17:44:52.851163,80.5
2022-07-08T17:44:54.174975,80.4
2022-07-08T17:44:55.498830,80.3
2022-07-08T17:44:56.822778,80.2
2022-07-08T17:44:58.146548,80.2
2022-07-08T17:44:59.470422,80.1
2022-07-08T17:45:00.794380,79.8
2022-07-08T17:45:02.118145,79.8
2022-07-08T17:45:03.442406,79.8
2022-07-08T17:45:04.766288,79.7
2022-07-08T17:45:06.090190,79.7
2022-07-08T17:45:07.413965,79.2
2022-07-08T17:45:08.737648,79.4
2022-07-08T17:45:10.061253,79.4
2022-07-08T17:45:11.384986,79.3
2022-07-08T17:45:12.708673,79.2
2022-07-08T17:45:14.032345,78.9
2022-07-08T17:45:15.355764,78.8
2022-07-08T17:45:16.679163,79.0
2022-07-08T17:45:18.002812,79.0
2022-07-08T17:45:19.326277,78.8
2022-07-08T17:45:20.649775,78.8
2022-07-08T17:45:21.973270,78.7
2022-07-08T17:45:23.296696,78.5
2022-07-08T17:45:24.620158,78.5
2022-07-08T17:45:25.943547,78.4
2022-07-08T17:45:27.266930,78.3
2022-07-08T17:45:28.590348,77.9
2022-07-08T17:45:29.913759,78.0
2022-07-08T17:45:31.237032,78.0
2022-07-08T17:45:32.560524,78.1
2022-07-08T17:45:33.883953,78.0
2022-07-08T17:45:35.207193,77.7
2022-07-08T17:45:36.530515,77.6
2022-07-08T17:45:37.853883,77.7
2022-07-08T17:45:39.177127,77.6
2022-07-08T17:45:40.500449,77.5
2022-07-08T17:45:41.823685,77.5
2022-07-08T17:45:43.147128,77.3
2022-07-08T17:45:44.470344,77.3
